,title,genre,overview,cast,director,lang,comp
0,Black Panther,"Action, Adventure, Sci-Fi","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Chadwick Boseman Michael B. Jordan Lupita Nyong'o Danai Gurira,Ryan Coogler,en,unknown
1,Deadpool 2,"Action, Adventure, Comedy","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Ryan Reynolds Josh Brolin Morena Baccarin Julian Dennison,David Leitch,en,unknown
2,Avengers: Infinity War,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans,Anthony Russo,en,unknown
3,Hereditary,"Drama, Horror, Mystery",A grieving family is haunted by tragic and disturbing occurrences.,Toni Collette Milly Shapiro Gabriel Byrne Alex Wolff,Ari Aster,en,unknown
4,A Star Is Born,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Lady Gaga Bradley Cooper Sam Elliott Greg Grunberg,Bradley Cooper,en,unknown
5,Venom,"Action, Adventure, Sci-Fi","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Tom Hardy Michelle Williams Riz Ahmed Scott Haze,Ruben Fleischer,en,unknown
6,Bohemian Rhapsody,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Rami Malek Lucy Boynton Gwilym Lee Ben Hardy,Bryan Singer,en,unknown
7,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Peter Ramsey Rodney Rothman Shameik Moore Jake Johnson Hailee Steinfeld Mahershala Ali,Bob Persichetti,en,unknown
8,The Lie,"Drama, Horror, Mystery","A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",Peter Sarsgaard Joey King Cas Anvar Dani Kind,Veena Sud,en,unknown
9,Ready Player One,"Action, Adventure, Sci-Fi","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",Tye Sheridan Olivia Cooke Ben Mendelsohn Lena Waithe,Steven Spielberg,en,unknown
10,Adrift,"Action, Adventure, Biography","A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",Shailene Woodley Sam Claflin Jeffrey Thomas Elizabeth Hawthorne,Baltasar Kormákur,en,unknown
11,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy","The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",Eddie Redmayne Katherine Waterston Dan Fogler Johnny Depp,David Yates,en,unknown
12,A Simple Favor,"Comedy, Crime, Drama","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Anna Kendrick Blake Lively Henry Golding Andrew Rannells,Paul Feig,en,unknown
13,A Quiet Place,"Drama, Horror, Sci-Fi","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",Emily Blunt John Krasinski Millicent Simmonds Noah Jupe,John Krasinski,en,unknown
14,Mamma Mia! Here We Go Again,"Comedy, Musical, Romance","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",Lily James Amanda Seyfried Meryl Streep Cher,Ol Parker,en,unknown
15,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi","During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",Alden Ehrenreich Woody Harrelson Emilia Clarke Donald Glover,Ron Howard,en,unknown
16,Suspiria,"Fantasy, Horror, Mystery","A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",Chloë Grace Moretz Tilda Swinton Doris Hick Malgorzata Bela,Luca Guadagnino,en,unknown
17,Ocean's 8,"Action, Comedy, Crime",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,Sandra Bullock Cate Blanchett Anne Hathaway Mindy Kaling,Gary Ross,en,unknown
18,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Chris Pratt Bryce Dallas Howard Rafe Spall Justice Smith,J.A. Bayona,en,unknown
19,Fifty Shades Freed,"Drama, Romance, Thriller","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",Dakota Johnson Jamie Dornan Eric Johnson Eloise Mumford,James Foley,en,unknown
20,Tomb Raider,"Action, Adventure, Fantasy","Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",Alicia Vikander Dominic West Walton Goggins Daniel Wu,Roar Uthaug,en,unknown
21,Robin Hood,"Action, Adventure, Drama",A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,Taron Egerton Jamie Foxx Ben Mendelsohn Eve Hewson,Otto Bathurst,en,unknown
22,The Meg,"Action, Horror, Sci-Fi",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,Jason Statham Bingbing Li Rainn Wilson Cliff Curtis,Jon Turteltaub,en,unknown
23,Beautiful Boy,"Biography, Drama","Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",Steve Carell Maura Tierney Jack Dylan Grazer Oakley Bull,Felix van Groeningen,en,unknown
24,Game Night,"Action, Comedy, Crime",A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,Jonathan Goldstein Jason Bateman Rachel McAdams Kyle Chandler Sharon Horgan,John Francis Daley,en,unknown
25,The House That Jack Built,"Crime, Drama, Horror","The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",Matt Dillon Bruno Ganz Uma Thurman Siobhan Fallon Hogan,Lars von Trier,en,unknown
26,Halloween,"Crime, Horror, Thriller","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",Jamie Lee Curtis Judy Greer Andi Matichak James Jude Courtney,David Gordon Green,en,unknown
27,Ant-Man and the Wasp,"Action, Adventure, Comedy","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Paul Rudd Evangeline Lilly Michael Peña Walton Goggins,Peyton Reed,en,unknown
28,Mid90s,"Comedy, Drama","Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",Sunny Suljic Katherine Waterston Lucas Hedges Na-kel Smith,Jonah Hill,en,unknown
29,Searching,"Drama, Mystery, Thriller","After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",John Cho Debra Messing Joseph Lee Michelle La,Aneesh Chaganty,en,unknown
