,title,genre,overview,cast,director,lang,comp
0,Knives Out,"Comedy, Crime, Drama","A detective investigates the death of a patriarch of an eccentric, combative family.",Daniel Craig Chris Evans Ana de Armas Jamie Lee Curtis,Rian Johnson,en,unknown
1,Joker,"Crime, Drama, Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Todd Phillips,en,unknown
2,Avengers: Endgame,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth,Anthony Russo,en,unknown
3,Ford v Ferrari,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Matt Damon Christian Bale Jon Bernthal Caitriona Balfe,James Mangold,en,unknown
4,Once Upon a Time... in Hollywood,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Leonardo DiCaprio Brad Pitt Margot Robbie Emile Hirsch,Quentin Tarantino,en,unknown
5,Jojo Rabbit,"Comedy, Drama, War",A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,Roman Griffin Davis Thomasin McKenzie Scarlett Johansson Taika Waititi,Taika Waititi,en,unknown
6,The Gentlemen,"Action, Comedy, Crime","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy Strong,Guy Ritchie,en,unknown
7,Bombshell,"Biography, Drama",A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,Charlize Theron Nicole Kidman Margot Robbie John Lithgow,Jay Roach,en,unknown
8,Doctor Sleep,"Drama, Fantasy, Horror","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",Ewan McGregor Rebecca Ferguson Kyliegh Curran Cliff Curtis,Mike Flanagan,en,unknown
9,1917,"Drama, War","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Dean-Charles Chapman George MacKay Daniel Mays Colin Firth,Sam Mendes,en,unknown
10,Terminator: Dark Fate,"Action, Adventure, Sci-Fi","An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",Linda Hamilton Arnold Schwarzenegger Mackenzie Davis Natalia Reyes,Tim Miller,en,unknown
11,Ready or Not,"Comedy, Horror, Mystery",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,Tyler Gillett Samara Weaving Adam Brody Mark O'Brien Henry Czerny,Matt Bettinelli-Olpin,en,unknown
12,Jumanji: The Next Level,"Action, Adventure, Comedy","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",Dwayne Johnson Jack Black Kevin Hart Karen Gillan,Jake Kasdan,en,unknown
13,Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy","The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.",Daisy Ridley John Boyega Oscar Isaac Adam Driver,J.J. Abrams,en,unknown
14,Midway,"Action, Adventure, Drama","The story of the Battle of Midway, told by the leaders and the sailors who fought it.",Ed Skrein Patrick Wilson Woody Harrelson Luke Evans,Roland Emmerich,en,unknown
15,The Lion King,"Animation, Adventure, Drama","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Donald Glover Beyoncé Seth Rogen Chiwetel Ejiofor,Jon Favreau,en,unknown
16,Charlie's Angels,"Action, Adventure, Comedy","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",Kristen Stewart Naomi Scott Ella Balinska Elizabeth Banks,Elizabeth Banks,en,unknown
17,The Irishman,"Biography, Crime, Drama","An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",Robert De Niro Al Pacino Joe Pesci Harvey Keitel,Martin Scorsese,en,unknown
18,Aladdin,"Adventure, Family, Fantasy",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Will Smith Mena Massoud Naomi Scott Marwan Kenzari,Guy Ritchie,en,unknown
19,It Chapter Two,"Drama, Fantasy, Horror","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Jessica Chastain James McAvoy Bill Hader Isaiah Mustafa,Andy Muschietti,en,unknown
20,Captain Marvel,"Action, Adventure, Sci-Fi",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Ryan Fleck Brie Larson Samuel L. Jackson Ben Mendelsohn Jude Law,Anna Boden,en,unknown
