id,original_language,title,genre_list,cast_list,crew_list,comp_list,comb
19995,en,Avatar,Action Adventure Fantasy Science Fiction ,JakeSully Neytiri Dr.GraceAugustine ,James Cameron,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment ,Action Adventure Fantasy Science Fiction JakeSully Neytiri Dr.GraceAugustine James CameronIngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment en
285,en,Pirates of the Caribbean: At World's End,Adventure Fantasy Action ,CaptainJackSparrow WillTurner ElizabethSwann ,Gore Verbinski,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions ,Adventure Fantasy Action CaptainJackSparrow WillTurner ElizabethSwann Gore VerbinskiWaltDisneyPictures JerryBruckheimerFilms SecondMateProductions en
206647,en,Spectre,Action Adventure Crime ,JamesBond Blofeld Madeleine ,Sam Mendes,ColumbiaPictures Danjaq B24 ,Action Adventure Crime JamesBond Blofeld Madeleine Sam MendesColumbiaPictures Danjaq B24 en
49026,en,The Dark Knight Rises,Action Crime Drama Thriller ,BruceWayne/Batman AlfredPennyworth JamesGordon ,Christopher Nolan,LegendaryPictures WarnerBros. DCEntertainment Syncopy ,Action Crime Drama Thriller BruceWayne/Batman AlfredPennyworth JamesGordon Christopher NolanLegendaryPictures WarnerBros. DCEntertainment Syncopy en
49529,en,John Carter,Action Adventure Science Fiction ,JohnCarter DejahThoris Sola ,Andrew Stanton,WaltDisneyPictures ,Action Adventure Science Fiction JohnCarter DejahThoris Sola Andrew StantonWaltDisneyPictures en
559,en,Spider-Man 3,Fantasy Action Adventure ,PeterParker/Spider-Man MaryJaneWatson HarryOsborn/NewGoblin ,Sam Raimi,ColumbiaPictures LauraZiskinProductions MarvelEnterprises ,Fantasy Action Adventure PeterParker/Spider-Man MaryJaneWatson HarryOsborn/NewGoblin Sam RaimiColumbiaPictures LauraZiskinProductions MarvelEnterprises en
38757,en,Tangled,Animation Family ,FlynnRider(voice) Rapunzel(voice) MotherGothel(voice) ,Byron Howard,WaltDisneyPictures WaltDisneyAnimationStudios ,Animation Family FlynnRider(voice) Rapunzel(voice) MotherGothel(voice) Byron HowardWaltDisneyPictures WaltDisneyAnimationStudios en
99861,en,Avengers: Age of Ultron,Action Adventure Science Fiction ,TonyStark/IronMan ThorOdinson BruceBanner/Hulk ,Joss Whedon,MarvelStudios PrimeFocus RevolutionSunStudios ,Action Adventure Science Fiction TonyStark/IronMan ThorOdinson BruceBanner/Hulk Joss WhedonMarvelStudios PrimeFocus RevolutionSunStudios en
767,en,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family ,HarryPotter RonWeasley HermioneGranger ,David Yates,WarnerBros. HeydayFilms ,Adventure Fantasy Family HarryPotter RonWeasley HermioneGranger David YatesWarnerBros. HeydayFilms en
209112,en,Batman v Superman: Dawn of Justice,Action Adventure Fantasy ,BruceWayne/Batman ClarkKent/Superman DianaPrince/WonderWoman ,Zack Snyder,DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment ,Action Adventure Fantasy BruceWayne/Batman ClarkKent/Superman DianaPrince/WonderWoman Zack SnyderDCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment en
1452,en,Superman Returns,Adventure Fantasy Action Science Fiction ,Superman/ClarkKent LexLuthor LoisLane ,Bryan Singer,DCComics LegendaryPictures WarnerBros. BadHatHarryProductions ,Adventure Fantasy Action Science Fiction Superman/ClarkKent LexLuthor LoisLane Bryan SingerDCComics LegendaryPictures WarnerBros. BadHatHarryProductions en
10764,en,Quantum of Solace,Adventure Action Thriller Crime ,JamesBond CamilleMontes DominicGreene ,Marc Forster,EonProductions ,Adventure Action Thriller Crime JamesBond CamilleMontes DominicGreene Marc ForsterEonProductions en
58,en,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action ,CaptainJackSparrow WillTurner ElizabethSwann ,Gore Verbinski,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions ,Adventure Fantasy Action CaptainJackSparrow WillTurner ElizabethSwann Gore VerbinskiWaltDisneyPictures JerryBruckheimerFilms SecondMateProductions en
57201,en,The Lone Ranger,Action Adventure Western ,Tonto JohnReid/TheLoneRanger ButchCavendish ,Gore Verbinski,WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia ,Action Adventure Western Tonto JohnReid/TheLoneRanger ButchCavendish Gore VerbinskiWaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia en
49521,en,Man of Steel,Action Adventure Fantasy Science Fiction ,ClarkKent/Kal-El LoisLane GeneralZod ,Zack Snyder,LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms ,Action Adventure Fantasy Science Fiction ClarkKent/Kal-El LoisLane GeneralZod Zack SnyderLegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms en
2454,en,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy ,PrinceCaspian PeterPevensie SusanPevensie ,Andrew Adamson,WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios ,Adventure Family Fantasy PrinceCaspian PeterPevensie SusanPevensie Andrew AdamsonWaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios en
24428,en,The Avengers,Science Fiction Action Adventure ,TonyStark/IronMan SteveRogers/CaptainAmerica BruceBanner/TheHulk ,Joss Whedon,ParamountPictures MarvelStudios ,Science Fiction Action Adventure TonyStark/IronMan SteveRogers/CaptainAmerica BruceBanner/TheHulk Joss WhedonParamountPictures MarvelStudios en
1865,en,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy ,"CaptainJackSparrow AngelicaTeach CaptainEdward""Blackbeard""Teach ",Rob Marshall,WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC) ,"Adventure Action Fantasy CaptainJackSparrow AngelicaTeach CaptainEdward""Blackbeard""Teach Rob MarshallWaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC) en"
41154,en,Men in Black 3,Action Comedy Science Fiction ,AgentJ AgentK YoungAgentK ,Barry Sonnenfeld,AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions ,Action Comedy Science Fiction AgentJ AgentK YoungAgentK Barry SonnenfeldAmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions en
122917,en,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy ,BilboBaggins Gandalf ThorinOakenshield ,Peter Jackson,WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM) ,Action Adventure Fantasy BilboBaggins Gandalf ThorinOakenshield Peter JacksonWingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM) en
1930,en,The Amazing Spider-Man,Action Adventure Fantasy ,PeterParker/Spider-Man GwenStacy Dr.CurtConnors/TheLizard ,Marc Webb,ColumbiaPictures LauraZiskinProductions MarvelEntertainment ,Action Adventure Fantasy PeterParker/Spider-Man GwenStacy Dr.CurtConnors/TheLizard Marc WebbColumbiaPictures LauraZiskinProductions MarvelEntertainment en
20662,en,Robin Hood,Action Adventure ,RobinLongstride MarionLoxley SirWalterLoxley ,Ridley Scott,ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia ,Action Adventure RobinLongstride MarionLoxley SirWalterLoxley Ridley ScottImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia en
57158,en,The Hobbit: The Desolation of Smaug,Adventure Fantasy ,BilboBaggins Gandalf ThorinOakenshield ,Peter Jackson,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM) ,Adventure Fantasy BilboBaggins Gandalf ThorinOakenshield Peter JacksonWingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM) en
2268,en,The Golden Compass,Adventure Fantasy ,LyraBelacqua MarisaCoulter LordAsriel ,Chris Weitz,NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions ,Adventure Fantasy LyraBelacqua MarisaCoulter LordAsriel Chris WeitzNewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions en
254,en,King Kong,Adventure Drama Action ,AnnDarrow CarlDenham JackDriscoll ,Peter Jackson,WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm ,Adventure Drama Action AnnDarrow CarlDenham JackDriscoll Peter JacksonWingNutFilms UniversalPictures BigPrimatePictures MFPVFilm en
597,en,Titanic,Drama Romance Thriller ,RoseDeWittBukater JackDawson RuthDewittBukater ,James Cameron,ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment ,Drama Romance Thriller RoseDeWittBukater JackDawson RuthDewittBukater James CameronParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment en
