id,original_language,title,genre_list,cast_list,crew_list,comp_list
19995,en,Avatar,Action Adventure Fantasy Science Fiction ,JakeSully Neytiri Dr.GraceAugustine ,James Cameron,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment 
285,en,Pirates of the Caribbean: At World's End,Adventure Fantasy Action ,CaptainJackSparrow WillTurner ElizabethSwann ,Gore Verbinski,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions 
206647,en,Spectre,Action Adventure Crime ,JamesBond Blofeld Madeleine ,Sam Mendes,ColumbiaPictures Danjaq B24 
49026,en,The Dark Knight Rises,Action Crime Drama Thriller ,BruceWayne/Batman AlfredPennyworth JamesGordon ,Christopher Nolan,LegendaryPictures WarnerBros. DCEntertainment Syncopy 
49529,en,John Carter,Action Adventure Science Fiction ,JohnCarter DejahThoris Sola ,Andrew Stanton,WaltDisneyPictures 
559,en,Spider-Man 3,Fantasy Action Adventure ,PeterParker/Spider-Man MaryJaneWatson HarryOsborn/NewGoblin ,Sam Raimi,ColumbiaPictures LauraZiskinProductions MarvelEnterprises 
38757,en,Tangled,Animation Family ,FlynnRider(voice) Rapunzel(voice) MotherGothel(voice) ,Byron Howard,WaltDisneyPictures WaltDisneyAnimationStudios 
99861,en,Avengers: Age of Ultron,Action Adventure Science Fiction ,TonyStark/IronMan ThorOdinson BruceBanner/Hulk ,Joss Whedon,MarvelStudios PrimeFocus RevolutionSunStudios 
767,en,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family ,HarryPotter RonWeasley HermioneGranger ,David Yates,WarnerBros. HeydayFilms 
209112,en,Batman v Superman: Dawn of Justice,Action Adventure Fantasy ,BruceWayne/Batman ClarkKent/Superman DianaPrince/WonderWoman ,Zack Snyder,DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment 
1452,en,Superman Returns,Adventure Fantasy Action Science Fiction ,Superman/ClarkKent LexLuthor LoisLane ,Bryan Singer,DCComics LegendaryPictures WarnerBros. BadHatHarryProductions 
10764,en,Quantum of Solace,Adventure Action Thriller Crime ,JamesBond CamilleMontes DominicGreene ,Marc Forster,EonProductions 
58,en,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action ,CaptainJackSparrow WillTurner ElizabethSwann ,Gore Verbinski,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions 
57201,en,The Lone Ranger,Action Adventure Western ,Tonto JohnReid/TheLoneRanger ButchCavendish ,Gore Verbinski,WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia 
49521,en,Man of Steel,Action Adventure Fantasy Science Fiction ,ClarkKent/Kal-El LoisLane GeneralZod ,Zack Snyder,LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms 
2454,en,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy ,PrinceCaspian PeterPevensie SusanPevensie ,Andrew Adamson,WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios 
24428,en,The Avengers,Science Fiction Action Adventure ,TonyStark/IronMan SteveRogers/CaptainAmerica BruceBanner/TheHulk ,Joss Whedon,ParamountPictures MarvelStudios 
1865,en,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy ,"CaptainJackSparrow AngelicaTeach CaptainEdward""Blackbeard""Teach ",Rob Marshall,WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC) 
41154,en,Men in Black 3,Action Comedy Science Fiction ,AgentJ AgentK YoungAgentK ,Barry Sonnenfeld,AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions 
122917,en,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy ,BilboBaggins Gandalf ThorinOakenshield ,Peter Jackson,WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM) 
1930,en,The Amazing Spider-Man,Action Adventure Fantasy ,PeterParker/Spider-Man GwenStacy Dr.CurtConnors/TheLizard ,Marc Webb,ColumbiaPictures LauraZiskinProductions MarvelEntertainment 
20662,en,Robin Hood,Action Adventure ,RobinLongstride MarionLoxley SirWalterLoxley ,Ridley Scott,ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia 
57158,en,The Hobbit: The Desolation of Smaug,Adventure Fantasy ,BilboBaggins Gandalf ThorinOakenshield ,Peter Jackson,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM) 
2268,en,The Golden Compass,Adventure Fantasy ,LyraBelacqua MarisaCoulter LordAsriel ,Chris Weitz,NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions 
254,en,King Kong,Adventure Drama Action ,AnnDarrow CarlDenham JackDriscoll ,Peter Jackson,WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm 
597,en,Titanic,Drama Romance Thriller ,RoseDeWittBukater JackDawson RuthDewittBukater ,James Cameron,ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment 
271110,en,Captain America: Civil War,Adventure Action Science Fiction ,SteveRogers/CaptainAmerica TonyStark/IronMan NatashaRomanoff/BlackWidow ,Anthony Russo,StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios 
44833,en,Battleship,Thriller Action Adventure Science Fiction ,LieutenantAlexHopper CommanderStoneHopper PettyOfficerCora'Weps'Raikes ,Peter Berg,UniversalPictures Hasbro BluegrassFilms Film44 
